tema,palavra,frequencia
economia,direito,3
economia,lote,2
economia,extra,2
economia,abono,2
economia,salarial,2
economia,pasep,2
economia,quem,2
economia,como,2
economia,consultar,2
economia,valor,2
esportes,brasil,2
esportes,mundial,2
esportes,ginástica,2
esportes,artística,2
esportes,briga,2
esportes,flávia,1
esportes,saraiva,1
esportes,maior,1
esportes,chance,1
esportes,medalha,1
mundo,trump,4
mundo,após,3
mundo,geração,2
mundo,deve,2
mundo,daqui,1
mundo,pouco,1
mundo,recebe,1
mundo,zelensky,1
mundo,casa,1
mundo,branca,1
politica,lula,5
politica,mauro,3
politica,vieira,3
politica,rubio,3
politica,trump,3
politica,para,2
politica,encontro,2
politica,muito,2
politica,entre,2
politica,marco,2
tecnologia,iphone,3
tecnologia,após,2
tecnologia,usuários,2
tecnologia,openai,1
tecnologia,suspende,1
tecnologia,geração,1
tecnologia,vídeos,1
tecnologia,martin,1
tecnologia,luther,1
tecnologia,king,1
